state,constituency,image,result,votes,margin,name,party
Andaman & Nicobar Islands,Andaman & Nicobar Islands,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/BISHN-2024-169.jpg,won,102436,+ 24396,BISHNU PADA RAY,Bharatiya Janata Party
Andaman & Nicobar Islands,Andaman & Nicobar Islands,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/ANAND-2024-2008.jpg,lost,342,-102094,ANAND RAMNATH ARLEKAR,Independent
Andaman & Nicobar Islands,Andaman & Nicobar Islands,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/SALAM-2024-1955.jpg,lost,351,-102085,SALAMAT MONDAL,Socialist Unity Centre Of India (COMMUNIST)
Andaman & Nicobar Islands,Andaman & Nicobar Islands,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/USHAK-2024-2088.jpg,lost,380,-102056,USHA KUMARI,Independent
Andaman & Nicobar Islands,Andaman & Nicobar Islands,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/KVENK-2024-1997.jpg,lost,507,-101929,K VENKAT RAM BABU,Independent
Andaman & Nicobar Islands,Andaman & Nicobar Islands,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/RINKU-2024-2056.jpg,lost,542,-101894,RINKU MALA MONDAL,Independent
Andaman & Nicobar Islands,Andaman & Nicobar Islands,img/nota.jpg,,1809,-100627,NOTA,None of the Above
Andaman & Nicobar Islands,Andaman & Nicobar Islands,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/KJBSE-2024-986.jpg,lost,914,-101522,K J B SELVARAJ,All India Anna Dravida Munnetra Kazhagam
Andaman & Nicobar Islands,Andaman & Nicobar Islands,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/VKA-2024-2102.jpg,lost,2203,-100233,V.K. ABDUL AZIZ,Independent
Andaman & Nicobar Islands,Andaman & Nicobar Islands,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/DAYYA-2024-944.jpg,lost,6017,-96419,D AYYAPPAN,Communist Party of India  (Marxist)
Andaman & Nicobar Islands,Andaman & Nicobar Islands,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/MANOJ-2024-970.jpg,lost,8254,-94182,MANOJ PAUL,Andaman Nicobar Democratic Congress
Andaman & Nicobar Islands,Andaman & Nicobar Islands,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/KULDE-2024-2038.jpg,lost,78040,-24396,KULDEEP RAI SHARMA,Indian National Congress
Andaman & Nicobar Islands,Andaman & Nicobar Islands,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/DRARU-2024-938.jpg,lost,719,-101717,DR ARUN KUMAR MALLIK,Bahujan Samaj Party
Andhra Pradesh,Ongole,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/CHEVI-2024-6844.jpg,lost,651695,-50199,DR CHEVIREDDY BHASKAR REDD,Yuvajana Sramika Rythu Congress Party
Andhra Pradesh,Ongole,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/EDASU-2024-20240501115007.jpg,lost,26722,-675172,EDA SUDHAKARA REDDY,Indian National Congress
Andhra Pradesh,Ongole,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/LAKSH-2024-20240423051904.jpg,lost,6314,-695580,DHARANIKOTA LAKSHMI NARAYANA,Bahujan Samaj Party
Andhra Pradesh,Ongole,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/RAMBA-2024-20240426022537.jpg,lost,3073,-698821,PODILI RAMBABU,Independent
Andhra Pradesh,Ongole,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/BUCHI-2024-5563.jpg,lost,3048,-698846,BUCHI EDUKONDALU,Independent
Andhra Pradesh,Ongole,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/BODDU-2024-5541.jpg,lost,1798,-700096,BODDU KRANTHI KUMAR,Independent
Andhra Pradesh,Ongole,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/BONTH-2024-20240423041951.jpg,lost,1923,-699971,BONTHA RANGA REDDY,Independent
Andhra Pradesh,Ongole,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/MOHAN-2024-20240424071706.jpg,lost,1447,-700447,MOHAN GOUD J V,Independent
Andhra Pradesh,Ongole,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/UMADH-2024-20240501115148.jpg,lost,1008,-700886,U MADHU BABU,Independent
